year,sport,event,gold_name,gold_noc,tie_gold,silver_name,silver_noc,tie_silver,bronze_name,bronze_noc,tie_bronze
2018,Figure Skating,"Singles, Women",Alina Zagitova,ROC,False,Yevgeniya Medvedeva,ROC,False,Kaetlyn Osmond,CAN,False
2018,Figure Skating,"Pairs, Mixed",Germany 1,GER,False,People's Republic of China 1,CHN,False,Canada 1,CAN,False
2018,Figure Skating,"Ice Dance, Mixed",Canada 1,CAN,False,France 1,FRA,False,United States 2,USA,False
2018,Figure Skating,"Team, Mixed",Canada,CAN,False,Olympic Athletes from Russia,ROC,False,United States,USA,False
2018,Freestyle Skiing,"Moguls, Men",Mikaël Kingsbury,CAN,False,Matt Graham,AUS,False,Daichi Hara,JPN,False
2018,Freestyle Skiing,"Aerials, Men",Oleksandr Abramenko,UKR,False,Jia Zongyang,CHN,False,Ilya Burov,ROC,False
2018,Freestyle Skiing,"Ski Cross, Men",Brady Leman,CAN,False,Marc Bischofberger,SUI,False,Sergey Ridzik,ROC,False
2018,Freestyle Skiing,"Halfpipe, Men",David Wise,USA,False,Alex Ferreira,USA,False,Nico Porteous,NZL,False
2018,Freestyle Skiing,"Slopestyle, Men",Øystein Bråten,NOR,False,Nick Goepper,USA,False,Alex Beaulieu-Marchand,CAN,False
2018,Freestyle Skiing,"Moguls, Women",Perrine Laffont,FRA,False,Justine Dufour-Lapointe,CAN,False,Yuliya Galysheva,KAZ,False
2018,Freestyle Skiing,"Aerials, Women",Hanna Huskova,BLR,False,Zhang Xin,CHN,False,Kong Fanyu,CHN,False
2018,Freestyle Skiing,"Ski Cross, Women",Kelsey Serwa,CAN,False,Britt Phelan,CAN,False,Fanny Smith,SUI,False
2018,Freestyle Skiing,"Halfpipe, Women",Cassie Sharpe,CAN,False,Marie Martinod,FRA,False,Brita Sigourney,USA,False
2018,Freestyle Skiing,"Slopestyle, Women",Sarah Höfflin,SUI,False,Mathilde Gremaud,SUI,False,Izzy Atkin,GBR,False
2018,Ice Hockey,"Ice Hockey, Men",Olympic Athletes from Russia,ROC,False,Germany,GER,False,Canada,CAN,False
2018,Ice Hockey,"Ice Hockey, Women",United States,USA,False,Canada,CAN,False,Finland,FIN,False
2018,Luge,"Singles, Men",David Gleirscher,AUT,False,Chris Mazdzer,USA,False,Johannes Ludwig,GER,False
2018,Luge,"Doubles, Men",Germany 1,GER,False,Austria 1,AUT,False,Germany 2,GER,False
2018,Luge,"Singles, Women",Natalie Geisenberger,GER,False,Dajana Eitberger,GER,False,Alex Gough,CAN,False
2018,Luge,"Team Relay, Mixed",Germany,GER,False,Canada,CAN,False,Austria,AUT,False
2018,Nordic Combined,"Team, Men",Germany,GER,False,Norway,NOR,False,Austria,AUT,False
2018,Nordic Combined,"Individual, Men",Eric Frenzel,GER,False,Akito Watabe,JPN,False,Lukas Klapfer,AUT,False
2018,Nordic Combined,"Sprint, Men",Johannes Rydzek,GER,False,Fabian Rießle,GER,False,Eric Frenzel,GER,False
2018,Short Track Speed Skating,"500 metres, Men",Wu Dajing,CHN,False,Hwang Dae-Heon,KOR,False,Im Hyo-Jun,KOR,False
2018,Short Track Speed Skating,"1,000 metres, Men",Samuel Girard,CAN,False,John-Henry Krueger,USA,False,Seo Lee-Ra,KOR,False
2018,Short Track Speed Skating,"1,500 metres, Men",Im Hyo-Jun,KOR,False,Sjinkie Knegt,NED,False,Semyon Yelistratov,ROC,False
2018,Short Track Speed Skating,"Relay, Men",Hungary,HUN,False,People's Republic of China,CHN,False,Canada,CAN,False
2018,Short Track Speed Skating,"500 metres, Women",Arianna Fontana,ITA,False,Yara van Kerkhof,NED,False,Kim Boutin,CAN,False
2018,Short Track Speed Skating,"1,000 metres, Women",Suzanne Schulting,NED,False,Kim Boutin,CAN,False,Arianna Fontana,ITA,False
2018,Short Track Speed Skating,"1,500 metres, Women",Choi Min-Jeong,KOR,False,Li Jinyu,CHN,False,Kim Boutin,CAN,False
2018,Short Track Speed Skating,"Relay, Women",Republic of Korea,KOR,False,Italy,ITA,False,Netherlands,NED,False
2018,Skeleton,"Skeleton, Men",Yun Seong-Bin,KOR,False,Nikita Tregubov,ROC,False,Dom Parsons,GBR,False
2018,Skeleton,"Skeleton, Women",Lizzy Yarnold,GBR,False,Jacqueline Lölling,GER,False,Laura Deas,GBR,False
2018,Ski Jumping,"Normal Hill, Individual, Men",Andreas Wellinger,GER,False,Johann André Forfang,NOR,False,Robert Johansson,NOR,False
2018,Ski Jumping,"Large Hill, Individual, Men",Kamil Stoch,POL,False,Andreas Wellinger,GER,False,Robert Johansson,NOR,False
2018,Ski Jumping,"Large Hill, Team, Men",Norway,NOR,False,Germany,GER,False,Poland,POL,False
2018,Ski Jumping,"Normal Hill, Individual, Women",Maren Lundby,NOR,False,Katharina Althaus,GER,False,Sara Takanashi,JPN,False
2018,Snowboarding,"Parallel Giant Slalom, Men",Nevin Galmarini,SUI,False,Lee Sang-Ho,KOR,False,Žan Košir,SLO,False
2018,Snowboarding,"Slopestyle, Men",Red Gerard,USA,False,Max Parrot,CAN,False,Mark McMorris,CAN,False
2018,Snowboarding,"Halfpipe, Men",Shaun White,USA,False,Ayumu Hirano,JPN,False,Scotty James,AUS,False
2018,Snowboarding,"Cross, Men",Pierre Vaultier,FRA,False,Jarryd Hughes,AUS,False,Regino Hernández,ESP,False
2018,Snowboarding,"Big Air, Men",Sébastien Toutant,CAN,False,Kyle Mack,USA,False,Billy Morgan,GBR,False
2018,Snowboarding,"Parallel Giant Slalom, Women",Ester Ledecká,CZE,False,Selina Jörg,GER,False,Ramona Hofmeister,GER,False
2018,Snowboarding,"Slopestyle, Women",Jamie Anderson,USA,False,Laurie Blouin,CAN,False,Enni Rukajärvi,FIN,False
2018,Snowboarding,"Halfpipe, Women",Chloe Kim,USA,False,Liu Jiayu,CHN,False,Arielle Gold,USA,False
2018,Snowboarding,"Cross, Women",Michela Moioli,ITA,False,Julia Pereira,FRA,False,Eva Samková,CZE,False
2018,Snowboarding,"Big Air, Women",Anna Gasser,AUT,False,Jamie Anderson,USA,False,Zoi Sadowski-Synnott,NZL,False
2018,Speed Skating,"500 metres, Men",Håvard Lorentzen,NOR,False,Cha Min-Gyu,KOR,False,Gao Tingyu,CHN,False
2018,Speed Skating,"1,000 metres, Men",Kjeld Nuis,NED,False,Håvard Lorentzen,NOR,False,Kim Tae-Yun,KOR,False
2018,Speed Skating,"1,500 metres, Men",Kjeld Nuis,NED,False,Patrick Roest,NED,False,Min-Seok Kim,KOR,False
2018,Speed Skating,"5,000 metres, Men",Sven Kramer,NED,False,Ted-Jan Bloemen,CAN,False,Sverre Lunde Pedersen,NOR,False
2018,Speed Skating,"10,000 metres, Men",Ted-Jan Bloemen,CAN,False,Jorrit Bergsma,NED,False,Nicola Tumolero,ITA,False
2018,Speed Skating,"Mass Start, Men",Lee Seung-Hun,KOR,False,Bart Swings,BEL,False,Koen Verweij,NED,False
2018,Speed Skating,"Team Pursuit (8 laps), Men",Norway,NOR,False,Republic of Korea,KOR,False,Netherlands,NED,False
2018,Speed Skating,"500 metres, Women",Nao Kodaira,JPN,False,Lee Sang-Hwa,KOR,False,Karolína Erbanová,CZE,False
2018,Speed Skating,"1,000 metres, Women",Jorien ter Mors,NED,False,Nao Kodaira,JPN,False,Miho Takagi,JPN,False
2018,Speed Skating,"1,500 metres, Women",Ireen Wüst,NED,False,Miho Takagi,JPN,False,Marrit Leenstra,NED,False
2018,Speed Skating,"3,000 metres, Women",Carlijn Achtereekte,NED,False,Ireen Wüst,NED,False,Antoinette de Jong,NED,False
2018,Speed Skating,"5,000 metres, Women",Esmee Visser,NED,False,Martina Sáblíková,CZE,False,Nataliya Voronina,ROC,False
2018,Speed Skating,"Mass Start, Women",Nana Takagi,JPN,False,Kim Bo-Reum,KOR,False,Irene Schouten,NED,False
2018,Speed Skating,"Team Pursuit (6 laps), Women",Japan,JPN,False,Netherlands,NED,False,United States,USA,False
2022,Alpine Skiing,"Downhill, Men",Beat Feuz,SUI,False,Johan Clarey,FRA,False,Matthias Mayer,AUT,False
2022,Alpine Skiing,"Super G, Men",Matthias Mayer,AUT,False,Ryan Cochran-Siegle,USA,False,Aleksander Aamodt Kilde,NOR,False
2022,Alpine Skiing,"Giant Slalom, Men",Marco Odermatt,SUI,False,Žan Kranjec,SLO,False,Mathieu Faivre,FRA,False
