year,noc,iso_code,is_host,log_gdp_per_capita,log_population,total_medals,medals_awarded,medal_share
2022,CHN,CHN,1,9.47044097178179,21.068396906014875,15,328,0.04573170731707317
2022,SUI,CHE,0,11.455238200870305,15.987655247728846,15,328,0.04573170731707317
2022,FRA,FRA,0,10.62105022535698,18.037727193613996,14,328,0.042682926829268296
2022,KOR,KOR,0,10.458016275856812,17.760437618400346,9,328,0.027439024390243903
2022,FIN,FIN,0,10.828550896777168,15.5304080611481,8,328,0.024390243902439025
2022,SLO,SVN,0,10.252745705085273,14.563181908009335,7,328,0.021341463414634148
2022,AUS,AUS,0,11.084747140319084,17.07432687534397,4,328,0.012195121951219513
2022,HUN,HUN,0,9.821628090283692,16.077802058475783,3,328,0.009146341463414634
2022,NZL,NZL,0,10.801608387947049,15.441156409242582,3,328,0.009146341463414634
2022,BEL,BEL,0,10.831820478616793,16.27340651465478,2,328,0.006097560975609756
2022,BLR,BLR,0,8.986527604380312,16.03776059222104,2,328,0.006097560975609756
2022,CZE,CZE,0,10.249988747456268,16.183145104047927,2,328,0.006097560975609756
2022,GBR,GBR,0,10.759115830498278,18.029177710860257,2,328,0.006097560975609756
2022,SVK,SVK,0,9.967297420687904,15.507772291802878,2,328,0.006097560975609756
2022,ESP,ESP,0,10.319546306626943,17.68224540204672,1,328,0.003048780487804878
