year,event,noc,medal,iso_code,gdp_per_capita,population,host_noc,is_host,log_gdp_per_capita,log_population
1948,"Four, Men",USA,gold,USA,,,SUI,0,,
1948,"Singles, Men",USA,gold,USA,,,SUI,0,,
1948,"Combined, Women",USA,silver,USA,,,SUI,0,,
1948,"Skeleton, Men",USA,silver,USA,,,SUI,0,,
1948,"500 metres, Men",USA,silver,USA,,,SUI,0,,
1952,"Downhill, Men",AUT,bronze,AUT,,,NOR,0,,
1952,"Giant Slalom, Men",AUT,bronze,AUT,,,NOR,0,,
1952,"Slalom, Men",AUT,gold,AUT,,,NOR,0,,
1952,"Downhill, Women",AUT,gold,AUT,,,NOR,0,,
1952,"Downhill, Men",AUT,silver,AUT,,,NOR,0,,
1952,"Giant Slalom, Men",AUT,silver,AUT,,,NOR,0,,
1952,"Giant Slalom, Women",AUT,silver,AUT,,,NOR,0,,
1952,"Singles, Men",AUT,silver,AUT,,,NOR,0,,
1952,"500 metres, Men",CAN,bronze,CAN,,,NOR,0,,
1952,"Ice Hockey, Men",CAN,gold,CAN,,,NOR,0,,
1952,"18 kilometres, Men",FIN,bronze,FIN,,,NOR,0,,
1952,"10 kilometres, Women",FIN,bronze,FIN,,,NOR,0,,
1952,"50 kilometres, Men",FIN,gold,FIN,,,NOR,0,,
1952,"Relay, Men",FIN,gold,FIN,,,NOR,0,,
1952,"10 kilometres, Women",FIN,gold,FIN,,,NOR,0,,
1952,"18 kilometres, Men",FIN,silver,FIN,,,NOR,0,,
1952,"50 kilometres, Men",FIN,silver,FIN,,,NOR,0,,
1952,"10 kilometres, Women",FIN,silver,FIN,,,NOR,0,,
1952,"Individual, Men",FIN,silver,FIN,,,NOR,0,,
1952,"Singles, Women",FRA,bronze,FRA,,,NOR,0,,
1952,"Singles, Women",GBR,gold,GBR,,,NOR,0,,
1952,"Giant Slalom, Women",GER,bronze,DEU,,,NOR,0,,
1952,"Slalom, Women",GER,bronze,DEU,,,NOR,0,,
1952,"Two, Men",GER,gold,DEU,,,NOR,0,,
1952,"Four, Men",GER,gold,DEU,,,NOR,0,,
1952,"Pairs, Mixed",GER,gold,DEU,,,NOR,0,,
1952,"Downhill, Women",GER,silver,DEU,,,NOR,0,,
1952,"Slalom, Women",GER,silver,DEU,,,NOR,0,,
1952,"Pairs, Mixed",HUN,bronze,HUN,,,NOR,0,,
1952,"Downhill, Women",ITA,bronze,ITA,,,NOR,0,,
1952,"Downhill, Men",ITA,gold,ITA,,,NOR,0,,
