year,event,medal,noc,iso_code,gdp_per_capita,population,host_noc,is_host,log_gdp_per_capita,log_population
1968,"1,000 metres, Women",gold,NED,NLD,2364.3594192663,12729721.0,FRA,0,7.768262405576017,16.359450053561286
1968,"1,500 metres, Women",gold,FIN,FIN,1927.29380452918,4626469.0,FRA,0,7.563872124114242,15.347304500119215
1968,"3,000 metres, Women",gold,NED,NLD,2364.3594192663,12729721.0,FRA,0,7.768262405576017,16.359450053561286
1972,"Downhill, Men",gold,SUI,CHE,5884.77524107186,6260956.0,JPN,0,8.68012382713359,15.649843447071385
1972,"Giant Slalom, Men",gold,ITA,ITA,2677.29372999774,54381345.0,JPN,0,7.892561761071479,17.811531730220587
1972,"Slalom, Men",gold,ESP,ESP,1707.58800052655,34604469.0,JPN,0,7.442837127760587,17.35949339353699
1972,"Downhill, Women",gold,SUI,CHE,5884.77524107186,6260956.0,JPN,0,8.68012382713359,15.649843447071385
1972,"Giant Slalom, Women",gold,SUI,CHE,5884.77524107186,6260956.0,JPN,0,8.68012382713359,15.649843447071385
1972,"Slalom, Women",gold,USA,USA,6094.01798986165,209896000.0,JPN,0,8.715062911602612,19.162122727915616
1972,"Individual, Men",gold,NOR,NOR,4413.57569168528,3933004.0,JPN,0,8.392440454349543,15.184914068448771
1972,"Relay, Men",gold,URS,RUS,,131909000.0,JPN,0,,18.69762284886998
1972,"Two, Men",gold,FRG,DEU,3823.94032602696,78688452.0,JPN,0,8.249036668931058,18.18100696818652
1972,"Four, Men",gold,SUI,CHE,5884.77524107186,6260956.0,JPN,0,8.68012382713359,15.649843447071385
1972,"15 kilometres, Men",gold,SWE,SWE,6018.39052977191,8122300.0,JPN,0,8.702575148698966,15.910123923261331
1972,"30 kilometres, Men",gold,URS,RUS,,131909000.0,JPN,0,,18.69762284886998
1972,"50 kilometres, Men",gold,NOR,NOR,4413.57569168528,3933004.0,JPN,0,8.392440454349543,15.184914068448771
1972,"Relay, Men",gold,URS,RUS,,131909000.0,JPN,0,,18.69762284886998
1972,"5 kilometres, Women",gold,URS,RUS,,131909000.0,JPN,0,,18.69762284886998
1972,"10 kilometres, Women",gold,URS,RUS,,131909000.0,JPN,0,,18.69762284886998
1972,"Relay, Women",gold,URS,RUS,,131909000.0,JPN,0,,18.69762284886998
1972,"Singles, Men",gold,TCH,CZE,,9867632.0,JPN,0,,16.104770463678207
1972,"Singles, Women",gold,AUT,AUT,2912.59577111524,7544201.0,JPN,0,7.976799980119678,15.836289746630843
